node1,node2
ACVR1B,SMAD7
APC,CTNNB1
APC,MARK2
APC,TAF1
ATM,MYC
ATM,TAF1
ATP2A1,JUN
CDC25C,YWHAE
CDKN2A,CUL4B
CDKN2A,EGR1
CTNNB1,EGR1
CTNNB1,MYC
CTNNB1,ZIC3
CUL4B,HIST1H4D
EGR1,SP1
FAM46A,HTRA1
FBF1,GRB2
FBN2,FN1
FBN2,LTBP1
FN1,GRB2
FN1,MYC
FN1,YWHAE
FOXA1,MYC
GABARAPL2,HIST1H4D
GABARAPL2,JUN
GABARAPL2,SMARCA4
GABARAPL2,YWHAE
GPNMB,SMAD4
GRB2,HIST1H4D
GRB2,HTRA1
GRB2,KIT
GRB2,RACGAP1
GRB2,RB1
GRB2,SMAD3
GRB2,SP1
GRB2,YWHAE
HIST1H4D,JUN
HIST1H4D,MYC
HIST1H4D,RB1
HNF1A,RYR3
IRF3,KIT
IRF3,RB1
JUN,MYC
JUN,RBM10
JUN,SMAD4
JUN,SMARCA4
JUN,YWHAE
KDM6A,SMAD9
MARK2,YWHAE
MYC,RBM10
MYC,SMARCA4
MYC,SP1
MYC,TAF1
MYC,YWHAE
NLK,SMAD4
NR3C1,SMARCA4
PAPPA2,SMAD4
PAPPA2,ZNF512B
RB1,TAF1
SMAD3,SMAD4
SMAD3,SVEP1
SMAD3,YY1
SMAD4,SMAD7
SMAD4,SMAD9
SMAD4,SP1
SMAD9,SVEP1
SMARCA4,SP1
NR3C1,SMAD3
HIST1H4D,NR3C1
PBX3,SP1
KDM6A,PBX3
RACGAP1,YY1
YWHAE,YY1
ALKBH8,YY1
CTNNB1,TAF1
TAF1,YWHAE
FOXA1,HNF1A
HNF1A,SP1
EGR1,SP1
MYC,OCA2
FOXA1,MYC
CTCF,FOXA1
IRF3,SP1
MYC,SMARCA4
EGR1,SMARCA4
HIST1H4D,SMARCA4
CTCF,MYC
