node1,node2,weight
ACVR1B,CDKN2A,1.71911591540164e-6
ACVR1B,CUL4B,1.56969442555084e-6
ACVR1B,EGR1,1.30801556287014e-6
ACVR1B,GABARAPL2,1.30801556287014e-6
ACVR1B,GRB2,1.30801556287014e-6
ACVR1B,IRF3,1.57700172344394e-6
ACVR1B,JUN,2.61603112574029e-6
ACVR1B,MYC,1.36884156364556e-6
ACVR1B,SMAD4,3.75184977768916e-5
ACVR1B,SMAD7,0.00177873748284305
ACVR1B,SMARCA4,1.61107341076057e-6
ACVR1B,TAF1,1.5439254465661e-6
ACVR1B,YWHAE,1.26831687663041e-5
ACVR1B,YY1,3.09618941858459e-5
ALKBH8,CTNNB1,7.82432067636617e-6
ALKBH8,FBF1,1.28926206736819e-5
ALKBH8,FN1,1.402243439740449e-5
ALKBH8,GABARAPL2,3.117240787987161e-5
ALKBH8,JUN,5.658883882859732e-5
ALKBH8,MYC,6.101174725685316e-5
ALKBH8,NR3C1,7.13002225966947e-6
ALKBH8,PBX3,5.51377646658885e-6
ALKBH8,RACGAP1,1.57275810857046e-6
ALKBH8,SMAD3,8.8719506902719e-6
ALKBH8,TAF1,1.559177564003652e-5
ALKBH8,YWHAE,1.54419574127203e-6
ALKBH8,YY1,0.0007756993178313343
APC,CTNNB1,0.0004936053892529851
APC,LTBP1,2.55745445300691e-5
APC,MARK2,0.0006751871801042743
APC,TAF1,0.00047318963488960687
APC,ZIC3,1.57394955485752e-5
ATM,MYC,0.0005553790601394088
ATM,OCA2,2.76738259275697e-6
ATM,TAF1,0.0005285994032703454
ATM,ZIC3,8.26873981467211e-6
ATP2A1,CTNNB1,2.09363808650071e-5
ATP2A1,GABARAPL2,8.39092092566519e-7
ATP2A1,HIST1H4D,1.11548105588158e-6
ATP2A1,JUN,0.001098754054018699
ATP2A1,MYC,8.65460751357172e-7
ATP2A1,PBX3,1.64701388805058e-5
ATP2A1,RBM10,1.14488269177593e-6
ATP2A1,SMAD4,1.14809118754592e-6
ATP2A1,SMARCA4,1.07159468043397e-6
ATP2A1,YWHAE,9.9196055383866e-7
CDC25C,CUL4B,9.63947739240213e-6
CDC25C,FBF1,6.07240473596499e-6
CDC25C,FN1,5.17121957783952e-6
CDC25C,GABARAPL2,4.7066177106164e-6
CDC25C,GRB2,4.7066177106164e-6
CDC25C,JUN,4.7066177106164e-6
CDC25C,MARK2,9.1786111096624e-6
CDC25C,MYC,4.88418228620552e-6
CDC25C,RACGAP1,1.10506992475812e-5
CDC25C,RB1,2.812251073406944e-5
CDC25C,TAF1,5.2503627289244e-6
CDC25C,YWHAE,0.0012653728215610538
CDC25C,YY1,5.08178373382117e-6
CDKN2A,CUL4B,0.00040329494487294205
CDKN2A,EGR1,0.0003534441588980915
CDKN2A,LTBP1,2.84824051727332e-5
CDKN2A,ZIC3,7.415785798932e-6
CTCF,FOXA1,1.4812870793155719e-5
CTCF,LTBP1,4.1044328420997803e-5
CTCF,MYC,2.1472288871925624e-5
CTCF,OCA2,2.11534218616564e-6
CTNNB1,EGR1,0.0001742039596289247
CTNNB1,FBN2,5.45961924442596e-6
CTNNB1,HTRA1,2.35312736145844e-5
CTNNB1,MYC,0.00029304469134217004
CTNNB1,OCA2,2.53334309000907e-6
CTNNB1,SVEP1,3.44809326239033e-5
CTNNB1,TAF1,0.0005476311599695022
CTNNB1,ZIC3,0.002024239195732735
CUL4B,HIST1H4D,0.0002467489767655657
CUL4B,LTBP1,2.58583755659299e-5
EGR1,LTBP1,2.22670474478601e-5
EGR1,SMARCA4,0.0001030649072574952
EGR1,SP1,2.3465276758935e-5
EGR1,SVEP1,1.35549716697525e-5
EGR1,ZIC3,2.1592445903640518e-5
FAM46A,HTRA1,0.002764113206516918
FAM46A,SVEP1,3.68825674315109e-5
FBF1,GRB2,0.00010541321248818367
FBF1,HTRA1,2.66842233307627e-6
FBN2,FN1,0.002326614508286069
FBN2,GRB2,3.31865464571047e-6
FBN2,LTBP1,0.003984054465512459
FBN2,MYC,3.49051621667923e-6
FBN2,SMAD3,5.85138897468549e-6
FBN2,SP1,5.05115116977991e-6
FBN2,YWHAE,3.88715687024433e-6
FN1,GRB2,2.4441291508938203e-5
FN1,HTRA1,2.35496964009019e-6
FN1,LTBP1,0.000584418313451184
FN1,MYC,7.888858010869294e-5
FN1,OCA2,2.34768076925484e-6
FN1,SVEP1,8.35690579290644e-6
FN1,YWHAE,0.00011856150443544965
FOXA1,HNF1A,0.0002707589580271791
FOXA1,MYC,5.1973769815938804e-5
